地名,規範碼,long,lat,朝代,行政區
山陰北寺,PL000000013177,120.587,30.0031,,
樓煩縣,PL000000005580,112.1856,39.0071,西晉,西晉_并州
羅浮山,PL000000031276,114.016525,23.283448,,
尋陽郡,PL000000018863,115.8958,29.676,東晉,東晉_江州
龍泉精舍,PL000000018767,115.9991,29.5683,,
西林寺,PL000000018796,115.940263,29.600812,東晉,
東林寺,PL000000018801,115.944301,29.601618,沒有給定朝代,
香爐峯,PL000000018778,115.984829,29.673228,隋,
那揭羅曷國,PL000000000052,70.4566,34.436229,唐,
尋陽,PL000000028204,115.7055,29.9645,西晉,西晉_揚州
寒溪寺,PL000000027389,114.870928,30.409874,沒有給定朝代,
夏口,PL000000026490,114.3206,30.5217,東晉,東晉_江州
新蔡郡,PL000000026391,114.9829,32.7503,前秦,前秦
江州,PL000000018862,115.8958,29.676,東晉,東晉_江州
姚秦,PL000000048176,108.9532,34.2662,,
虎溪,PL000000018788,115.949814,29.597765,慣用名,
涇水,PL000000041995,109.072484,34.469719,,
渭河,PL000000042014,110.216724,34.621091,,
姑熟,PL000000015328,118.4924,31.5545,東晉,東晉_揚州
江夏郡,PL000000027636,113.7552,31.0249,東晉,東晉_荊州
幽州,PL000000015847,119.082,32.8506,東晉,東晉_徐州
成都,PL000000034787,104.0864,30.6501,前秦,前秦
峨嵋山,PL000000036087,103.329788,29.525305,慣用名,
岷山,PL000000037464,103.847503,32.676005,,
聖壽寺,PL000000034692,104.05348,30.663789,,
郫縣,PL000000034934,103.8972,30.8068,南齊,南朝齊_益州
法定寺,PL000000034918,103.885301,30.803343,東漢,
五嶺,PL000000000191,112.333333,25.166667,,
烏橋,PL000000018766,115.896,29.676,,
陽新,PL000000026598,114.9461,29.7605,東晉,東晉_江州
竹林寺,PL000000027921,112.18,30.365,,
臺寺,PL000000057126,120.62454,31.320092,,
泥陽,PL000000043499,109.0273,34.862,西晉,西晉_雍州
青州,PL000000021097,118.4475,36.7459,前秦,前秦
司州,PL000000023671,112.6193,34.7203,西晉,西晉_司州
樊城,PL000000027163,112.1259,32.0401,西晉,西晉_荊州
長樂,PL000000024104,114.5614,36.0962,西晉,西晉_司州
鄴縣,PL000000001468,114.3969,36.2849,西晉,西晉_司州
衛縣,PL000000024745,115.1256,35.8818,西晉,西晉_司州
箕山,PL000000022944,115.647,35.6311,,
終南山,PL000000042627,109.045332,33.924406,慣用名,
石羊寺,PL000000042073,108.906,34.3288,,
摩揭陀國,PL000000048266,85.42,25.03,唐,
吠舍釐國,PL000000048260,85.127109,25.987143,天竺,天竺
鉅鹿,PL000000002007,114.9109,36.9846,西晉,西晉_冀州
廣戚,PL000000009577,117.0422,34.7149,西晉,西晉_徐州
烏衣寺,PL000000008835,118.784464,32.020926,沒有給定朝代,
豫州,PL000000023714,112.597,34.7531,前秦,前秦
後趙,PL000000000137,114.5037,37.0656,,
東海郡,PL000000021958,118.3169,34.6303,前秦,前秦
劉宋,PL000000000136,118.778,32.0514,,
郢州,PL000000026473,114.3465,30.5529,南齊,南朝齊_郢州
高悝寺,PL000000028405,112.1995,30.3496,,
澧泉,PL000000043125,0,0,,
南林寺,PL000000008696,118.836,31.846,,
宋縣,PL000000015935,115.5847,33.4112,西晉,西晉_豫州
祇樹給孤獨園,PL000000048398,82.040054,27.508784,春秋,
彭城寺,PL000000008803,118.78765,32.039408,沒有給定朝代,
秦郡,PL000000009260,118.7955,32.4305,,
衡陽郡,PL000000028848,112.7267,27.8213,東晉,東晉_荊州
東阿,PL000000022347,116.0641,36.1745,北魏,北朝魏_濟州
洛水,PL000000023512,113.07,34.8379,,
兗州,PL000000021526,116.8237,35.5719,北魏,北朝魏_兗州
北徐州,PL000000015820,117.6637,32.8833,南齊,南朝齊_北徐州
黃山精舍,PL000000015603,117.663,32.883,,
海陽,PL000000001209,118.8211,39.6107,北魏,北朝魏_平州
燕都,PL000000000328,116.3779,39.9306,北魏,北朝魏_幽州
齊郡,PL000000020626,118.3544,36.8736,北魏,北朝魏_青州
閑居寺,PL000000009844,120.628,31.3114,,
東寺,PL000000010016,120.576,31.337,,
平昌,PL000000021130,119.3171,36.1884,北魏,北朝魏_青州
餘杭,PL000000011888,119.9413,30.2627,南齊,南朝齊_揚州
寶安寺,PL000000011796,119.941,30.2627,,
譙郡,PL000000025524,115.6907,34.4769,北魏,北朝魏_徐州
臨安,PL000000012112,119.7168,30.2739,西晉,西晉_揚州
白土山,PL000000012079,119.717,30.2739,,
淮南郡,PL000000016390,116.7861,32.5747,東晉,東晉_揚州
弘農郡,PL000000025135,110.9454,34.6463,前秦,前秦
陵雲寺,PL000000018789,115.9498,29.5976,,
扶風郡,PL000000043119,108.3027,34.5159,北魏,北朝魏_雍州
中寺,PL000000017101,116.786,32.575,,
新興郡,PL000000027720,112.3148,30.3464,南齊,南朝齊_荊州
靈味寺,PL000000008759,118.855,32.065,,
歷陽郡,PL000000016269,118.3701,31.713,東晉,東晉_揚州
任城,PL000000021320,116.5872,35.4095,北魏,北朝魏_兗州
晉陽,PL000000003792,112.5009,37.7557,北魏,北朝魏_并州
襄陽郡,PL000000027115,112.1591,32.0122,南齊,南朝齊_雍州
五層寺,PL000000028399,112.18,30.3652,,
琵琶寺,PL000000028400,112.18,30.3652,,
彭城郡,PL000000009533,117.1969,34.2686,北魏,北朝魏_徐州
冀州,PL000000003653,115.5734,37.5652,北魏,北朝魏_冀州
